id;name;regular_price;promo_price;brand;city
1252105;Кофе в зернах EGOISTE Noir, полимерная упаковка, 1 кг;2492.00;;EGOISTE;Санкт-Петербург
2873008;Кофе растворимый Jardin Кения Килиманджаро, сублимированный, 150 г;471.00;;Jardin;Санкт-Петербург
2163804;Кофейный напиток MacCoffee 3в1 со вкусом сгущенного молока растворимый 10шт х 20г;160.00;;MacCoffee;Санкт-Петербург
2562230;Кофе в зернах Poetti Daily Classic Intenso, 450 г;746.00;;Poetti;Санкт-Петербург
5609263;Кофе в дрип-пакетах COFFESSO со вкусом и ароматом фисташки и малины, 5 штук по 10 г;285.00;;COFFESSO;Санкт-Петербург
2306891;Капсулы Coffesso Lungo Intenso для кофемашины Dolce Gusto, 16 штук, 104 гр;619.00;;Капсулы;Санкт-Петербург
2306898;Капсулы Coffesso CAFE AU LAIT для кофемашины Dolce Gusto, 16 штук, 160гр;558.00;;Капсулы;Санкт-Петербург
2678864;Кофе в зёрнах Ambassador Gold Label, 1000 г;1499.00;;Ambassador;Санкт-Петербург
5989847;Кофе в зернах FRESCO ARABICA BLEND, 1 кг;1599.00;;FRESCO;Санкт-Петербург
2391243;Кофе в зернах Monarch Original, 230 г;400.00;;Monarch;Санкт-Петербург
1049665;Кофе растворимый Nescafe Classic, порошкообразный, дой-пак, 320 г;800.00;;Nescafe;Санкт-Петербург
2612228;Kофе рaствоpимый с молотым Московская Кофейня на Паяхъ ESPRESSO, 95 г;526.00;;Московская;Санкт-Петербург
1821519;"Кофе растворимый CARTE NOIRE ""Original"", сублимированный, стеклянная банка, 190 г";1200.00;;CARTE;Санкт-Петербург
2569097;Кофе в капсулах молотый EGOISTE PERU, для системы Nespresso,10 капсул по 5 г;314.00;;EGOISTE;Санкт-Петербург
2140190;"Кофейный напиток растворимый Жокей ""Крепкий"", 3 в 1, 50 штук по 12 г";508.00;;Жокей;Санкт-Петербург
2694845;Кофе растворимый MONARCH CREMA, натуральный, сублимированный, 95 г;407.00;;MONARCH;Санкт-Петербург
2841964;Кофейный напиток MacCoffee Cappuccino di Torino, с шоколадной крошкой, 20 штук по 16,5 г;449.00;;MacCoffee;Санкт-Петербург
2641248;Кофе растворимый ЖОКЕЙ Gold, сублимированный, 150 г;447.00;;ЖОКЕЙ;Санкт-Петербург
2138002;Кофе молотый Jardin Dessert Cup, арабика, 250 г;491.00;;Jardin;Санкт-Петербург
5609264;Кофе в дрип-пакетах COFFESSO, со вкусом и ароматом манго и морошки, 5 штук;285.00;;COFFESSO;Санкт-Петербург
